"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1223",605130,"Barlow, Scott","1223","100.0","0.223","0.106","0.315","0.328","0.275","0.281","0.212","61","274","88.3","14.6","2393","87.3","87.95","198","565","658","0.7","6.74","109","158","117","145","298","322","299"
"1221",608718,"Suter, Brent","1221","100.0","0.252","0.150","0.303","0.402","0.307","0.294","0.238","72","286","84.6","7.6","2145","85.9","86.77","124","596","625","0.9","7.13","108","153","117","147","300","323","298"
"1217",453268,"Bard, Daniel","1217","100.0","0.265","0.165","0.355","0.431","0.350","0.313","0.232","69","260","88.0","12.6","2760","92.2","91.84","169","564","652","-0.4","6.12","110","150","119","146","302","329","305"
"1216",642203,"Widener, Taylor","1216","100.0","0.241","0.215","0.276","0.456","0.343","0.353","0.246","65","270","88.4","16.8","2091","89.9","90.33","129","559","657","0.4","6.59","108","152","116","150","295","325","296"
"1213",680686,"Gray, Josiah","1213","100.0","0.238","0.268","0.256","0.506","0.348","0.323","0.216","63","265","86.7","19.8","2264","89.9","88.71","181","599","614","-1.2","5.50","111","155","120","145","301","322","295"
"1210",663986,"Stephan, Trevor","1210","100.0","0.235","0.235","0.272","0.470","0.340","0.346","0.241","58","247","89.4","16.2","2348","91.4","92.02","173","573","637","0.6","6.60","112","153","122","149","292","317","292"
"1209",640448,"Finnegan, Kyle","1209","100.0","0.251","0.153","0.309","0.404","0.324","0.296","0.218","64","255","87.8","8.1","1971","93.0","93.77","144","575","634","0.8","6.62","108","153","118","146","302","321","296"
"1202",656876,"Rasmussen, Drew","1202","100.0","0.204","0.104","0.256","0.307","0.252","0.293","0.243","57","280","91.2","8.6","2491","93.3","93.67","144","566","636","0.4","6.52","110","152","115","151","299","323","294"
"1195",650893,"Cabrera, Génesis","1195","100.0","0.209","0.100","0.287","0.309","0.283","0.293","0.206","52","249","87.1","11.9","2220","93.2","91.91","149","569","626","-1.3","6.03","112","153","118","147","297","317","296"
"1194",605507,"Thompson, Zach","1194","100.0","0.227","0.147","0.273","0.374","0.293","0.294","0.225","63","278","86.1","12.8","2331","87.0","87.03","154","581","613","0.0","6.32","108","151","119","148","298","320","287"
"1189",608335,"Funkhouser, Kyle","1189","100.0","0.229","0.111","0.280","0.340","0.303","0.315","0.236","58","253","86.6","6.5","2173","92.4","92.77","139","527","662","0.4","6.57","109","155","116","148","297","325","298"
"1185",570663,"Robles, Hansel","1185","100.0","0.228","0.169","0.294","0.398","0.321","0.332","0.230","58","254","90.1","11.7","2078","93.6","92.24","139","578","607","-1.4","6.11","108","155","116","149","297","329","297"
"1183",605242,"Fulmer, Michael","1183","100.0","0.256","0.122","0.323","0.378","0.301","0.301","0.241","69","270","86.7","12.1","2236","92.5","92.91","171","579","604","0.4","6.56","109","154","119","149","298","329","300"
"1178",456034,"Price, David","1178","100.0","0.272","0.155","0.314","0.428","0.330","0.310","0.253","79","290","85.9","7.2","1920","89.9","89.46","120","576","602","-0.4","5.98","109","154","113","150","300","318","293"
"1177",621249,"Underwood Jr., Duane","1177","100.0","0.270","0.168","0.316","0.439","0.333","0.339","0.272","77","285","89.1","8.5","2059","88.8","89.15","127","534","643","0.3","6.46","109","150","118","147","301","321","292"
"1177",642152,"Trivino, Lou","1177","100.0","0.216","0.093","0.269","0.310","0.280","0.316","0.229","58","268","86.9","9.0","2050","92.2","91.29","129","547","630","-0.9","6.57","110","149","117","150","301","328","301"
"1174",664208,"Maton, Phil","1174","100.0","0.256","0.169","0.351","0.425","0.335","0.293","0.207","65","254","87.7","13.1","2682","85.7","87.00","201","578","596","1.3","7.06","113","154","118","149","293","319","291"
"1166",592773,"Stanek, Ryne","1166","100.0","0.186","0.126","0.242","0.312","0.276","0.307","0.203","46","247","90.3","18.8","1998","93.6","92.93","180","552","614","-0.7","6.09","112","154","117","150","292","322","292"
"1156",663765,"Woodford, Jake","1156","100.0","0.261","0.142","0.291","0.403","0.322","0.326","0.261","66","253","89.7","12.9","2191","87.2","87.20","102","507","649","0.0","6.36","114","154","117","147","298","318","295"
"1154",656629,"Kopech, Michael","1154","100.0","0.210","0.163","0.304","0.374","0.280","0.255","0.179","54","257","87.6","18.3","2527","92.5","92.78","176","537","617","0.3","6.57","113","152","114","149","298","318","295"
"1150",676477,"Whitlock, Garrett","1150","100.0","0.233","0.116","0.304","0.349","0.272","0.265","0.227","64","275","87.7","7.5","2036","91.3","92.12","160","579","571","0.8","7.29","111","154","119","148","291","325","296"
"1149",656557,"Houck, Tanner","1149","100.0","0.223","0.090","0.319","0.313","0.271","0.276","0.211","57","256","86.3","10.6","2228","89.9","88.42","166","537","612","-1.5","6.13","109","154","116","149","289","327","300"
"1146",493603,"Ottavino, Adam","1146","100.0","0.239","0.135","0.321","0.374","0.324","0.299","0.208","55","230","84.9","11.1","2543","87.7","88.53","129","464","682","0.8","6.91","111","153","117","147","289","325","296"
"1143",641755,"Kinley, Tyler","1143","100.0","0.223","0.201","0.253","0.424","0.308","0.299","0.227","59","264","88.8","17.8","2479","92.6","91.13","171","586","556","-1.5","5.57","111","151","120","147","299","328","303"
"1136",669060,"Wilson, Bryse","1136","100.0","0.290","0.215","0.297","0.505","0.353","0.356","0.284","85","293","87.1","13.4","1974","89.5","90.16","112","582","554","0.7","6.59","108","152","121","148","300","320","293"
"1131",521230,"Hendriks, Liam","1131","100.0","0.174","0.143","0.254","0.318","0.220","0.215","0.165","45","258","89.5","18.9","2331","94.7","95.67","246","647","484","1.0","6.84","115","151","115","150","298","318","295"
